iter	Passed	Remaining
181	246	1108
182	247	1104
183	248	1100
184	248	1095
185	249	1091
186	250	1087
187	250	1082
188	251	1078
189	251	1074
190	252	1070
191	253	1065
192	253	1060
193	254	1056
194	255	1052
195	255	1048
196	256	1044
197	256	1040
198	257	1036
199	258	1033
200	258	1029
201	259	1025
202	260	1021
203	260	1017
204	261	1014
205	262	1010
206	262	1006
207	263	1003
208	264	999
209	264	995
210	265	992
211	266	988
212	266	985
213	267	981
214	267	978
215	268	975
216	269	971
217	269	968
218	270	964
219	271	961
220	271	958
221	272	954
222	273	951
223	273	948
224	274	946
225	275	943
226	276	940
227	276	937
228	277	934
229	278	931
230	278	927
231	279	925
232	280	922
233	281	920
234	281	917
235	282	915
236	283	912
237	284	909
238	284	906
239	285	903
240	286	901
241	287	899
242	287	896
243	288	893
244	289	890
245	289	887
246	290	885
247	290	882
248	291	879
249	292	877
250	293	874
251	293	872
252	294	869
253	295	867
254	296	864
255	296	862
256	297	859
257	298	857
258	298	854
259	299	852
260	300	849
261	300	846
262	301	844
263	302	841
264	302	839
265	303	836
266	303	834
267	304	831
268	305	829
269	305	827
270	306	824
271	307	822
272	307	819
273	308	817
274	309	815
275	310	813
276	311	811
277	311	810
278	312	808
279	313	806
280	314	805
281	315	803
282	316	801
283	316	799
284	317	797
285	318	794
286	318	792
287	319	789
288	320	787
289	320	785
290	321	782
291	322	780
292	322	778
293	323	776
294	323	774
295	324	771
296	325	769
297	325	766
298	326	764
299	326	762
300	327	759
301	327	757
302	328	755
303	328	752
304	329	750
305	330	748
306	330	746
307	331	744
308	331	742
309	332	740
310	333	738
311	333	736
312	334	734
313	335	732
314	335	730
315	336	728
316	337	726
317	338	724
318	338	723
319	339	721
320	340	719
321	340	717
322	341	715
323	341	713
324	342	711
325	343	709
326	343	707
327	344	705
328	345	703
329	345	702
330	346	700
331	347	698
332	347	696
333	348	694
334	348	692
335	349	690
336	350	689
337	350	687
338	351	685
339	352	683
340	352	681
341	353	679
342	353	677
343	354	675
344	354	673
345	355	671
346	355	669
347	356	667
348	356	665
349	357	663
350	358	662
351	358	660
352	359	658
353	359	656
354	360	654
355	360	652
356	361	651
357	362	649
358	362	647
359	363	645
360	363	643
361	364	642
362	365	640
363	365	638
364	366	637
365	366	635
366	367	633
367	367	631
368	368	630
369	369	628
370	369	626
371	370	624
372	370	623
373	371	621
374	371	619
375	372	617
376	372	616
377	373	614
378	374	612
379	374	611
380	375	609
381	375	607
382	376	606
383	376	604
384	377	602
385	378	601
386	378	599
387	379	598
388	379	596
389	380	595
390	381	593
391	381	591
392	382	590
393	382	588
394	383	586
395	383	585
396	384	583
397	384	582
398	385	580
399	385	578
400	386	577
401	387	575
402	387	574
403	388	572
404	388	571
405	389	569
406	389	568
407	390	566
408	391	565
409	391	563
410	392	562
411	393	561
412	393	559
413	394	558
414	394	556
415	395	555
416	395	553
417	396	552
418	397	550
419	397	549
420	398	547
421	398	546
422	399	544
423	399	543
424	400	541
425	401	540
426	401	539
427	402	537
428	402	536
429	403	534
430	404	533
431	404	532
432	405	530
433	405	529
434	406	528
435	407	526
436	407	525
437	408	523
438	408	522
439	409	521
440	409	519
441	410	518
442	411	516
443	411	515
444	412	514
445	412	512
446	413	511
447	413	509
448	414	508
449	415	507
450	415	505
451	416	504
452	416	503
453	417	501
454	417	500
455	418	499
456	418	497
457	419	496
458	420	495
459	421	494
460	422	493
461	422	492
462	423	491
463	424	490
464	425	489
465	425	487
466	426	486
467	426	485
468	427	484
469	428	482
470	428	481
471	429	480
472	429	478
473	430	477
474	431	476
475	431	475
476	432	473
477	432	472
478	433	471
479	434	470
480	434	468
481	435	467
482	435	466
483	436	465
484	437	464
485	438	463
486	438	462
487	439	461
488	440	459
489	440	458
490	441	457
491	441	456
492	442	455
493	443	453
494	443	452
495	444	451
